Query,RetrievedDocuments
384,FBIS3-10007 FT941-6517 
385,FBIS3-10007 FT941-3576 
386,FBIS3-10007 FT941-4287 
387,FBIS3-10007 FT942-14639 
388,FBIS3-10007 FT941-3502 
389,FBIS3-10007 FT941-6139 
390,FBIS3-10007 FT941-7824 
391,FBIS3-10007 FT941-15861 
392,FBIS3-10007 FT942-16673 
393,FBIS3-10007 FT941-4571 
394,FBIS3-10007 FT934-1954 
395,FBIS3-10007 FT942-16313 
396,FBIS3-10007 FT941-2246 
397,FBIS3-10007 FT942-11568 
398,FBIS3-10007 FT942-1287 
399,FBIS3-10007 FT942-15797 
400,FBIS3-10007 FT942-13610 
401,FBIS3-10007 FT941-4725 
402,FBIS3-10007 FT942-14203 
403,FBIS3-10007 FT942-17115 
404,FBIS3-10007 FT941-16282 
405,FBIS3-10007 FT942-10816 
406,FBIS3-10007 FT942-13566 
407,FBIS3-10007 FT942-14018 
408,FBIS3-10007 FT942-14644 
409,FBIS3-10007 FT941-8703 
410,FBIS3-10007 FT942-12842 
411,FBIS3-10007 FT942-15458 
412,FT931-12079 FT941-5841 
413,FBIS3-10007 FT941-5995 
414,FBIS3-10007 FT942-1507 
415,FBIS3-10007 FT941-5495 
416,FBIS3-10007 FT923-723 
417,FBIS3-10007 FT942-15456 
418,FBIS3-10007 FT942-11854 
419,FBIS3-10007 FT942-132 
420,FBIS3-10007 FT942-15279 
421,FBIS3-10007 FT941-6743 
422,FBIS3-10007 FT941-8798 
423,FBIS3-10007 FT942-17303 
424,FBIS3-10007 FT942-15273 
425,FBIS3-10007 FT941-3447 
426,FBIS3-10007 FT941-16612 
427,FBIS3-10007 FT941-6102 
428,FBIS3-10007 FT941-2547 
429,FBIS3-10007 FT942-13663 
430,FBIS3-10007 FT942-10517 
431,FBIS3-10007 FT942-12881 
432,FBIS3-10007 FT941-1929 
433,FBIS3-10007 FT942-15536 
434,FBIS3-10007 FT942-13342 
435,FBIS3-10007 FT941-7795 
436,FBIS3-10007 FT942-12812 
437,FT931-12079 FT942-10845 
438,FBIS3-10007 FT941-4037 
439,FBIS3-10007 FT942-12651 
440,FBIS3-10007 FT941-9311 
441,FBIS3-10007 FT942-13617 
442,FBIS3-10007 FT941-7784 
443,FBIS3-10007 FT942-10564 
444,FBIS3-10007 FT942-16674 
445,FBIS3-10007 FT942-10322 
446,FBIS3-10007 FT942-12872 
447,FBIS3-10007 FT942-12354 
448,FBIS3-10007 FT941-8007 
449,FBIS3-10007 FT942-16574 
450,FBIS3-10007 FT941-9466 
